Epoch,Training Accuracy,Generalization Accuracy
0,15.918367346938773,65.0
1,87.92517006802721,90.0
2,96.08843537414965,96.66666666666667
3,97.14285714285712,98.33333333333333
4,97.7891156462585,96.66666666666667
5,98.80952380952382,100.0
6,99.76190476190474,100.0
7,99.96598639455782,100.0
8,99.96598639455782,100.0
9,100.0,100.0
10,100.0,100.0
11,100.0,100.0
12,100.0,100.0
13,100.0,100.0
14,100.0,100.0
15,100.0,100.0
16,100.0,100.0
17,100.0,100.0
18,100.0,100.0
19,100.0,100.0
20,100.0,100.0
21,100.0,100.0
22,100.0,100.0
23,100.0,100.0
24,100.0,100.0
25,100.0,100.0
26,100.0,100.0
27,100.0,100.0
28,100.0,100.0
29,100.0,100.0
30,100.0,100.0
31,100.0,100.0
32,100.0,100.0
33,100.0,100.0
34,100.0,100.0
35,100.0,100.0
36,100.0,100.0
37,100.0,100.0
38,100.0,100.0
39,100.0,100.0
