Epoch,Training Accuracy,Generalization Accuracy
0,11.407407407407412,48.0
1,81.1111111111111,93.66666666666667
2,93.77777777777777,95.33333333333333
3,95.55555555555553,96.66666666666667
4,97.85185185185186,98.66666666666667
5,98.66666666666666,99.0
6,99.37037037037038,98.33333333333333
7,99.81481481481481,98.66666666666667
8,99.92592592592592,99.0
9,100.0,99.0
10,100.0,99.0
11,100.0,99.0
12,100.0,99.0
13,100.0,99.0
14,100.0,99.0
15,100.0,99.0
16,100.0,99.0
17,100.0,99.0
18,100.0,99.0
19,100.0,99.0
20,100.0,99.0
21,100.0,99.0
22,100.0,99.0
23,100.0,99.0
24,100.0,99.0
25,100.0,99.0
26,100.0,99.0
27,100.0,99.0
28,100.0,99.0
29,100.0,99.0
30,100.0,99.0
31,100.0,99.0
32,100.0,99.0
33,100.0,99.0
34,100.0,99.0
35,100.0,99.0
36,100.0,99.0
37,100.0,99.0
38,100.0,99.0
39,100.0,99.0
