Epoch,Training Accuracy,Generalization Accuracy
0,0.3333333333333333,1.5555555555555556
1,1.6666666666666667,3.0
2,6.666666666666667,3.148148148148148
3,7.0,8.518518518518517
4,13.666666666666666,13.666666666666666
5,22.333333333333332,22.14814814814815
6,29.0,30.74074074074074
7,41.666666666666664,39.8148148148148
8,52.333333333333336,49.555555555555564
9,59.333333333333336,57.33333333333332
10,68.33333333333333,64.14814814814814
11,74.33333333333333,68.11111111111113
12,78.66666666666667,72.14814814814814
13,82.66666666666667,77.18518518518518
14,89.0,77.85185185185186
15,88.33333333333333,83.33333333333334
16,92.33333333333333,84.96296296296296
17,93.0,86.07407407407409
18,93.33333333333333,86.07407407407409
19,94.66666666666667,86.5925925925926
20,94.66666666666667,86.88888888888889
21,95.0,87.48148148148151
22,95.66666666666667,87.77777777777779
23,95.33333333333333,87.96296296296298
24,95.33333333333333,89.22222222222223
25,96.33333333333333,90.00000000000001
26,97.66666666666667,90.29629629629632
27,97.0,91.51851851851856
28,98.33333333333333,91.62962962962963
29,98.33333333333333,92.2592592592593
30,98.33333333333333,93.0740740740741
31,100.0,93.70370370370371
32,100.0,94.11111111111113
33,100.0,94.2962962962963
34,100.0,94.51851851851852
35,100.0,94.77777777777779
36,100.0,94.85185185185188
37,100.0,94.85185185185186
38,100.0,95.11111111111111
39,100.0,95.1851851851852
