Epoch,Training Accuracy,Generalization Accuracy
0,1.3888888888888888,7.416666666666667
1,45.49999999999999,67.66666666666667
2,84.22222222222221,88.91666666666667
3,91.8888888888889,91.5
4,93.55555555555553,92.41666666666667
5,94.44444444444444,92.66666666666667
6,95.38888888888887,94.25
7,96.16666666666666,94.33333333333333
8,96.61111111111111,94.91666666666667
9,96.77777777777777,95.0
10,98.72222222222221,97.58333333333333
11,99.66666666666667,98.58333333333333
12,99.88888888888889,98.41666666666667
13,99.94444444444444,98.75
14,99.94444444444444,98.91666666666667
15,100.0,99.25
16,100.0,99.08333333333333
17,100.0,99.16666666666667
18,100.0,99.25
19,100.0,99.25
20,100.0,99.25
21,100.0,99.25
22,100.0,99.25
23,100.0,99.25
24,100.0,99.25
25,100.0,99.25
26,100.0,99.25
27,100.0,99.25
28,100.0,99.25
29,100.0,99.25
30,100.0,99.25
31,100.0,99.25
32,100.0,99.25
33,100.0,99.25
34,100.0,99.25
35,100.0,99.25
36,100.0,99.25
37,100.0,99.25
38,100.0,99.25
39,100.0,99.25
